seeds,run_time,greedy_steps,avg_greedy_time,precise_macrosteps,avg_precise_time,partition_iters,avg_partition_time
4,265347,90,235.076,19,12852.1,1146,113.74
8,215550,195,252.545,12,13858.6,991,106.573
16,331375,185,248.307,26,10978.4,1623,91.4737
32,328634,240,251.407,26,10319.1,1625,93.0097
64,345278,117,277.371,33,9479.57,1770,81.013
128,376136,100,285.009,41,8478.9,1896,82.8953
256,600175,85,298.906,95,6050.19,3382,62.5975
512,423877,97,309.327,61,6456.91,2194,77.3495
1024,423923,80,335.461,80,4963.57,2458,61.0791
2048,333814,91,344.063,74,4087.9,2059,55.4157
4096,229928,76,354.182,57,3561.58,1417,56.9854
8192,136237,49,384.746,37,3172.56,831,59.2789
16384,83470.2,52,435.711,17,3577.25,410,93.7925
32768,59859.8,46,455.726,11,3536.04,259,118.921
